Timestamp,Endpoint,Method,ResponseTime(ms),StatusCode,RiderId,Action,Details
2025-11-13T05:47:12.453Z,/health,GET,0,404,N/A,404_NOT_FOUND,Route not found: GET /health
2025-11-13T05:47:25.970Z,/api/rider/orders,GET,0,200,rider_001,VIEW_ORDERS,"{""status"":""ongoing"",""count"":3}"
2025-11-13T05:47:25.970Z,/api/rider/orders,GET,1,200,rider_001,GET_ORDERS,"status=ongoing, count=3"
2025-11-13T05:47:25.973Z,/api/rider/orders,GET,0,200,rider_001,VIEW_ORDERS,"{""status"":""completed"",""count"":7}"
2025-11-13T05:47:25.973Z,/api/rider/orders,GET,0,200,rider_001,GET_ORDERS,"status=completed, count=7"
2025-11-13T05:47:25.975Z,/api/rider/orders,GET,0,200,rider_001,VIEW_ORDER_DETAIL,"{""orderId"":""ORD001"",""status"":""assigned""}"
2025-11-13T05:47:25.976Z,/api/rider/order/ORD001,GET,1,200,rider_001,GET_ORDER_DETAIL,orderId=ORD001
2025-11-13T05:47:25.977Z,/api/rider/orders,GET,0,200,rider_001,VIEW_STATISTICS,"{""total"":10,""ongoing"":3,""completed"":7,""cancelled"":0,""totalEarnings"":81.75,""todayEarnings"":19.75,""todayOrders"":5}"
2025-11-13T05:47:25.978Z,/api/rider/orders/statistics,GET,1,200,rider_001,GET_ORDER_STATISTICS,"{""total"":10,""ongoing"":3,""completed"":7,""cancelled"":0,""totalEarnings"":81.75,""todayEarnings"":19.75,""todayOrders"":5}"
2025-11-13T05:47:25.981Z,/api/rider/income,GET,0,200,rider_001,VIEW_REALTIME_INCOME,"{""availableBalance"":-343.75,""todayEarnings"":19.75}"
2025-11-13T05:47:25.981Z,/api/rider/income/realtime,GET,1,200,rider_001,GET_REALTIME_INCOME,availableBalance=-343.75
2025-11-13T05:47:25.983Z,/api/rider/income,GET,0,200,rider_001,VIEW_INCOME_TREND,"{""period"":""daily""}"
2025-11-13T05:47:25.984Z,/api/rider/income/trend,GET,1,200,rider_001,GET_INCOME_TREND,period=daily
2025-11-13T05:47:25.986Z,/api/rider/income,GET,0,200,rider_001,VIEW_INCOME_TREND,"{""period"":""weekly""}"
2025-11-13T05:47:25.986Z,/api/rider/income/trend,GET,0,200,rider_001,GET_INCOME_TREND,period=weekly
2025-11-13T05:47:25.988Z,/api/rider/income,GET,0,200,rider_001,VIEW_INCOME_TREND,"{""period"":""monthly""}"
2025-11-13T05:47:25.989Z,/api/rider/income/trend,GET,1,200,rider_001,GET_INCOME_TREND,period=monthly
2025-11-13T05:47:25.991Z,/api/rider/income,GET,0,200,rider_001,VIEW_WITHDRAWAL_RECORDS,"{""status"":""all"",""count"":4}"
2025-11-13T05:47:25.991Z,/api/rider/income/records,GET,0,200,rider_001,GET_WITHDRAWAL_RECORDS,"status=all, count=4"
2025-11-13T05:47:26.008Z,/api/rider/income,GET,0,200,rider_001,VIEW_REALTIME_INCOME,"{""availableBalance"":-343.75,""todayEarnings"":19.75}"
2025-11-13T05:47:26.010Z,/api/rider/income/withdraw,POST,0,400,N/A,ERROR,Insufficient balance for withdrawal
2025-11-13T05:47:26.012Z,/api/nonexistent,GET,0,404,N/A,404_NOT_FOUND,Route not found: GET /api/nonexistent
